id,publication,nombreVues,nombreJaime
1818,"2024-04-01 20:22:27",1324531,84047
34678,"2024-04-02 16:27:27",1371469,108065
35849,"2024-04-03 20:19:53",1500462,85916
35574,"2024-03-15 15:39:33",1544991,78822
34258,"2024-04-03 17:00:34",1899598,178977
36745,"2024-04-13 21:00:04",1914883,135996
36716,"2024-04-12 16:01:36",1959016,79060
35893,"2024-04-12 07:14:00",2053367,183891
1435,"2024-03-08 14:48:14",2164536,95522
1388,"2024-03-31 15:21:39",2398921,155603
34290,"2024-04-02 11:00:10",2414381,179727
908,"2024-03-21 06:40:00",2421356,235684
1008,"2024-03-21 20:25:31",2425706,109966
792,"2024-03-18 19:00:47",3052200,108625
35805,"2024-04-11 19:17:03",3084795,92150
36837,"2024-04-08 21:29:03",3258642,283135
36644,"2024-04-04 12:47:46",3398438,30101
1444,"2024-03-31 04:00:13",4022810,None
36548,"2024-03-27 21:07:37",4471112,85533
36677,"2024-04-07 07:31:29",4594490,16764
1883,"2024-03-26 13:10:00",5056884,116328
35818,"2024-04-08 11:41:36",5060258,180586
36653,"2024-04-05 01:30:09",5334693,98337
744,"2024-03-24 12:00:41",5362956,237099
34121,"2024-03-07 22:34:19",8661633,37949
1138,"2024-03-25 11:56:18",9737197,95285
36807,"2024-04-06 16:08:44",17436353,194637
36616,"2024-04-01 10:35:45",22500284,92249
1236,"2024-03-03 05:49:42",23899230,159802
1054,"2024-03-18 21:16:01",24250988,222111
35999,"2024-03-24 00:34:00",41176066,244332
1147,"2024-03-16 09:16:57",90310407,512256
35492,"2024-04-14 18:01:05",91528,19414
33050,"2024-04-04 16:00:59",91640,None
906,"2024-04-01 19:24:40",135699,5703
34640,"2024-04-03 20:00:05",137992,9790
1119,"2024-03-26 21:00:07",154355,4444
34967,"2024-04-14 06:29:34",183533,10651
33035,"2024-04-02 23:19:02",240727,10476
865,"2024-04-01 23:30:59",265333,37795
34936,"2024-04-14 12:10:10",279485,9973
34641,"2024-04-03 07:20:58",282242,20998
34948,"2024-04-14 11:00:41",305947,15889
561,"2024-04-01 17:01:45",336749,None
1684,"2024-04-01 18:21:00",379816,52119
983,"2024-03-24 16:30:13",413225,18180
33968,"2024-04-04 17:47:32",434945,19925
1133,"2024-04-02 15:00:13",503009,58940
33313,"2024-04-04 16:00:55",549601,72175
33759,"2024-03-30 10:52:11",565159,91660
34969,"2024-04-13 12:00:56",590302,42095
1636,"2024-04-01 13:40:09",594638,40529
33464,"2024-04-01 15:33:25",597887,56595
1099,"2024-03-15 18:42:18",762560,14654
1180,"2024-03-29 20:59:15",775238,40762
1484,"2024-04-01 12:41:42",846459,57749
34136,"2024-03-27 15:00:13",864742,86837
994,"2024-03-28 11:54:09",872603,27112
1815,"2024-03-31 09:52:12",988518,65896
1487,"2024-03-31 18:30:06",1025885,63341
1638,"2024-03-30 16:34:56",1069129,None
36511,"2024-04-12 17:03:53",1176904,80670
36007,"2024-04-12 12:58:16",1270606,137755
1454,"2024-03-31 05:55:39",1615156,121678
766,"2024-03-28 17:28:27",1623701,141817
1001,"2024-03-23 11:02:38",1635538,180244
36570,"2024-03-31 14:45:21",1724810,136896
35642,"2024-03-22 03:00:30",1824366,165095
1285,"2024-02-29 17:26:24",1834963,294555
754,"2024-03-28 14:01:39",1960373,45496
33031,"2024-04-04 06:00:19",2159935,90428
35390,"2024-03-26 10:59:22",2225618,244430
36587,"2024-04-07 18:00:01",2391646,115398
725,"2024-03-30 12:06:24",3517122,123916
1379,"2024-03-28 20:04:37",3654429,425233
1782,"2024-03-31 14:18:30",4242955,181909
36070,"2024-03-27 16:43:19",4245298,194731
544,"2024-03-28 12:00:13",4424351,169442
36585,"2024-03-17 04:30:55",5118579,246175
36505,"2024-03-25 21:43:55",5286554,260855
34218,"2024-03-07 12:00:28",5547700,None
34142,"2024-03-25 18:11:12",6032380,20575
36657,"2024-03-30 02:39:57",6690807,26758
35287,"2024-04-09 11:00:55",7383469,90543
1280,"2024-03-15 09:47:23",7434996,498991
36578,"2024-04-07 18:26:37",7459311,95859
35928,"2024-04-08 09:00:53",7706605,623213
1242,"2024-03-01 17:58:31",14051235,280156
1443,"2024-02-27 04:00:51",15007421,647323
35797,"2024-03-26 07:14:49",15378857,87602
36596,"2024-04-08 17:06:00",17348591,259648
34078,"2024-03-12 22:49:26",22008430,162583
36729,"2024-04-08 12:51:09",23677378,1025363
1901,"2024-03-16 21:37:43",50545190,525495
35872,"2024-03-16 00:21:50",77018784,868512
35411,"2024-04-09 23:15:02",206545,10919
36648,"2024-04-14 18:00:07",224356,24352
36672,"2024-04-13 16:00:00",249245,19329
33745,"2024-04-03 13:47:00",261801,17402
34497,"2024-04-04 11:00:00",264078,19999
818,"2024-03-24 10:21:56",268839,9426
33670,"2024-04-04 11:30:17",369969,13506
992,"2024-03-19 17:30:04",392779,5385
36652,"2024-03-26 15:00:17",459518,30046
489,"2024-04-01 12:00:56",584256,144475
112,"2024-04-01 14:36:47",587149,24590
1708,"2024-03-29 16:10:55",653546,18572
1207,"2024-03-16 11:00:39",684673,27303
1858,"2024-04-01 14:14:34",734218,None
35432,"2024-03-26 17:07:42",758024,16660
36362,"2024-03-26 00:26:38",831881,34986
162,"2024-04-01 01:00:09",840242,51535
36766,"2024-04-14 15:42:54",1097321,83977
34486,"2024-03-21 10:30:27",1099911,None
458,"2024-03-27 19:00:34",1155948,85956
960,"2024-03-28 02:05:01",1187278,32252
35847,"2024-04-12 23:05:26",1298675,95866
36317,"2024-04-11 21:30:26",1367442,58235
33046,"2024-04-04 07:46:04",1392904,44675
35981,"2024-04-12 17:30:01",1469418,None
1385,"2024-03-30 15:35:00",1772348,74064
1293,"2024-03-24 16:52:09",1923575,49093
35875,"2024-04-07 10:31:22",2036499,110106
1632,"2024-03-28 15:14:55",2071741,172221
1781,"2024-04-01 11:00:07",2102824,67019
35242,"2024-04-02 13:00:02",2297511,104073
1057,"2024-03-20 09:42:29",2336551,71198
36547,"2024-04-05 01:13:47",2411156,121584
1406,"2024-03-29 11:21:53",2540919,None
435,"2024-03-27 14:42:42",2804991,116815
35809,"2024-04-07 17:03:41",2902527,123451
36382,"2024-04-10 11:11:44",2953041,149937
849,"2024-03-02 23:15:01",3059305,114472
36784,"2024-04-10 12:01:24",3530332,403331
1483,"2024-03-27 10:00:30",3696424,213710
36364,"2024-04-04 15:00:30",4153233,188386
36522,"2024-04-07 13:40:30",4416358,486004
36643,"2024-04-11 20:20:31",4975929,301844
1835,"2024-03-28 19:21:48",5146542,520742
34075,"2024-03-29 17:13:20",5182211,60637
35811,"2024-04-05 05:00:25",5695486,283149
34111,"2024-03-19 15:29:18",6092864,63709
1442,"2024-03-30 05:22:00",6241389,165066
1145,"2024-03-29 03:17:12",6657131,124803
454,"2024-03-27 03:15:00",6822929,716097
1459,"2024-03-24 15:23:02",8112376,609226
1250,"2024-03-08 18:00:15",11300788,421908
1174,"2024-03-14 07:12:21",13372847,497484
36637,"2024-04-01 05:38:44",13716659,166843
34451,"2024-03-21 23:15:54",16355982,183098
234,"2024-02-28 03:05:12",17736348,216023
938,"2024-03-19 15:33:30",17926280,372461
1136,"2024-03-20 22:35:54",19066643,459444
1890,"2024-03-14 13:59:18",20428074,906229
35379,"2024-04-01 04:17:41",22326572,243121
1148,"2024-03-12 07:54:59",45741265,456651
1795,"2024-03-08 05:00:16",59417901,870966
86,"2024-04-02 11:15:51",100981,8147
33561,"2024-04-03 13:11:55",127083,11885
34899,"2024-04-15 10:00:29",129291,7080
909,"2024-04-01 07:56:44",170204,11220
34946,"2024-04-14 12:42:02",179566,34479
33089,"2024-04-03 11:59:28",213986,19821
36431,"2024-04-05 19:39:36",217214,12102
34937,"2024-04-14 09:00:33",232119,19171
35450,"2024-04-11 17:29:00",275219,32305
36417,"2024-04-10 15:36:46",360525,22195
36455,"2024-04-11 16:22:39",407523,30669
1655,"2024-03-31 14:26:44",413522,None
1120,"2024-03-31 13:00:48",542885,14153
33070,"2024-04-01 14:48:32",610467,34746
34074,"2024-04-03 14:38:04",617971,47500
36471,"2024-04-09 16:39:30",632012,27577
36675,"2024-04-07 15:20:00",828086,56874
761,"2024-03-30 19:07:19",853142,None
1407,"2024-04-01 16:20:34",939859,82957
35796,"2024-04-12 19:00:08",1094153,79726
1488,"2024-03-30 16:24:14",1176282,124247
762,"2024-03-28 22:15:01",1288549,68145
34916,"2024-04-14 21:45:36",1289500,61070
33739,"2024-03-10 11:43:59",1568850,11900
746,"2024-03-28 08:35:43",1739240,96537
34770,"2024-03-15 10:00:11",1743464,None
950,"2024-03-24 10:04:00",2131217,181025
36757,"2024-04-12 21:00:04",2485598,177088
34755,"2024-03-30 13:00:42",2754581,135701
1157,"2024-03-26 15:00:05",3213372,189600
35862,"2024-04-07 16:35:07",3515523,208082
33967,"2024-03-22 20:35:57",4112868,269573
1428,"2024-03-26 20:00:18",4371444,334726
34045,"2024-04-02 16:13:38",4776255,428423
1073,"2024-03-11 23:00:11",6017543,61325
33076,"2024-04-03 03:17:00",6615266,371735
34304,"2024-03-30 14:13:39",6725443,300554
35930,"2024-03-30 14:48:08",6801865,103843
35873,"2024-04-05 11:25:44",7282657,582764
1809,"2024-03-28 09:38:40",9619323,312487
35851,"2024-03-22 17:30:26",9635503,105389
36189,"2024-03-24 20:34:51",10914440,69798
36719,"2024-04-10 10:15:41",11816305,390114
1109,"2024-03-01 20:12:17",11891562,218910
721,"2024-03-25 16:00:07",13564361,580940
34707,"2024-03-13 07:55:50",17439998,510039
36575,"2024-03-19 10:55:03",19214147,143229
1843,"2024-03-12 00:48:17",23863530,217609
36499,"2024-03-28 15:00:22",32639560,710133
34223,"2024-04-04 16:45:54",34243,8437
35517,"2024-04-15 13:00:02",71835,5200
34461,"2024-04-03 17:15:57",112492,5522
36633,"2024-04-14 13:00:29",129371,8567
33055,"2024-04-04 09:00:13",147530,9492
34561,"2024-04-02 16:38:42",260374,8927
36597,"2024-03-18 19:03:07",476890,42585
34924,"2024-04-14 16:41:00",507495,24643
148,"2024-03-31 22:37:43",536650,41351
35424,"2024-04-08 13:40:52",594718,23065
34796,"2024-04-03 16:51:13",668026,50585
1675,"2024-03-29 11:20:37",683213,33719
33429,"2024-04-03 12:59:54",700782,61488
34878,"2024-04-15 05:25:29",705911,73288
1224,"2024-03-28 12:00:35",728745,61548
178,"2024-03-30 14:50:33",775213,38576
34771,"2024-04-01 14:02:08",791584,71112
1255,"2024-03-28 23:37:39",807312,36657
1227,"2024-03-15 22:41:28",837684,58958
34970,"2024-04-13 15:59:34",840988,64289
1098,"2024-03-26 11:00:29",955640,8022
36693,"2024-03-21 09:00:33",957929,44153
35580,"2024-04-10 20:38:22",1039711,13253
35839,"2024-04-12 19:54:00",1151040,86957
34417,"2024-04-01 19:29:47",1185761,92685
931,"2024-03-17 19:10:43",1200516,27392
901,"2024-03-14 22:47:32",1201862,41189
1644,"2024-03-27 16:00:21",1280494,125388
157,"2024-03-31 12:48:48",1285473,58930
36393,"2024-04-10 07:00:29",1494958,54067
1750,"2024-04-01 11:42:23",1509819,145096
36440,"2024-04-06 16:23:41",1647940,91766
34276,"2024-04-04 00:19:38",1658078,105319
35895,"2024-04-10 12:28:18",1663309,155285
34730,"2024-04-02 18:33:57",1718118,106197
34288,"2024-04-03 12:00:30",1885043,171429
36611,"2024-04-04 07:00:01",1909787,122362
35160,"2024-04-13 09:00:41",2017958,196137
35263,"2024-04-09 06:27:44",2052714,39884
34342,"2024-03-31 18:48:48",2136258,199890
1491,"2024-03-28 10:54:01",2193862,153757
36741,"2024-04-12 09:00:47",2422676,157731
1424,"2024-03-29 09:00:32",2471626,226583
35353,"2024-03-21 14:46:17",2520870,61673
1650,"2024-03-30 10:38:07",2666624,87642
1431,"2024-03-29 13:15:54",2750023,209853
35845,"2024-04-11 11:00:13",2769294,102326
1016,"2024-03-14 21:49:08",2824717,145132
1497,"2024-03-26 17:31:36",3019125,172948
35760,"2024-04-11 13:43:20",3151806,148834
399,"2024-03-29 00:44:25",3261125,153330
34918,"2024-04-11 22:00:18",3447196,37722
937,"2024-03-10 14:00:01",3951612,241717
821,"2024-03-11 22:54:54",3987919,77928
35804,"2024-04-03 17:20:27",4961940,290963
33733,"2024-03-17 00:39:57",5657320,19655
1192,"2024-03-15 16:49:51",5753683,145371
1516,"2024-03-24 19:22:53",6572894,242527
1339,"2024-03-28 15:16:10",6980438,276955
1695,"2024-03-19 17:27:21",7569633,401338
1258,"2024-03-02 05:09:06",8179872,594722
34161,"2024-03-22 08:00:03",8742053,324385
36717,"2024-04-04 22:33:12",8956993,597297
36377,"2024-04-05 01:26:43",9144491,300240
952,"2024-03-20 06:09:13",9741606,56276
36722,"2024-04-01 23:35:08",9925200,556098
199,"2024-03-07 04:39:45",10203047,None
1344,"2024-03-26 17:28:56",10764924,622214
748,"2024-03-23 11:00:29",10822411,265892
1810,"2024-03-20 20:06:11",14222619,812762
1884,"2024-03-26 13:28:17",14844447,520623
35231,"2024-04-09 07:29:53",15964429,255412
36038,"2024-04-10 11:06:40",16332196,179792
36434,"2024-03-18 14:00:19",17692415,406990
1836,"2024-03-22 00:16:36",18537845,270180
36576,"2024-04-08 09:00:02",21256446,246288
29,"2024-02-27 06:45:05",24491621,788686
1472,"2024-03-19 06:01:21",30385304,2071521
36527,"2024-03-30 06:16:13",59479190,344099
36859,"2024-04-02 16:15:01",63318850,1039559
1754,"2024-03-20 09:27:10",166221473,4352503
33821,"2024-04-04 13:01:50",107899,3529
34965,"2024-04-14 10:36:59",145692,16507
33095,"2024-04-03 12:00:37",214042,21945
33082,"2024-04-03 19:10:35",285671,24421
34209,"2024-03-28 11:00:40",357698,15475
33043,"2024-04-04 12:47:32",385682,16619
34787,"2024-04-04 16:00:05",421045,35236
34626,"2024-03-31 19:06:46",421255,23296
34323,"2024-04-04 16:46:00",572291,68925
1253,"2024-03-31 13:30:05",587654,70501
1461,"2024-03-31 14:15:01",623851,70856
36031,"2024-04-13 16:00:01",777505,29517
35885,"2024-04-04 12:00:03",986143,41870
770,"2024-03-26 15:24:14",1024097,43539
34592,"2024-03-27 12:25:03",1035266,18380
35216,"2024-04-12 11:00:12",1051735,88154
33424,"2024-04-01 05:00:23",1051916,84916
1476,"2024-03-31 10:06:36",1162218,65465
36321,"2024-04-12 22:55:51",1174960,56070
856,"2024-03-24 21:03:52",1306707,31187
36618,"2024-04-08 14:56:30",1402699,76392
36407,"2024-04-08 12:30:11",1417730,72116
1797,"2024-04-01 19:47:18",1426439,None
1761,"2024-04-01 17:03:19",1487918,156447
33767,"2024-03-15 07:39:55",1505102,17853
33403,"2024-03-28 10:10:47",1511831,87944
34706,"2024-04-03 15:10:30",1591510,94318
1506,"2024-03-29 16:01:50",1650120,71821
35812,"2024-04-12 12:00:34",1907025,116005
34351,"2024-03-29 12:00:08",1939189,98083
730,"2024-04-02 05:32:28",1964489,96646
35235,"2024-04-09 10:24:33",2061178,42309
1172,"2024-03-12 16:50:09",2105926,109843
34300,"2024-04-01 17:33:30",2344936,263142
1261,"2024-03-20 15:22:17",2446510,421420
36772,"2024-04-11 16:30:21",2647282,145324
35803,"2024-04-12 13:21:21",2679736,119410
36534,"2024-04-11 18:31:17",2776881,90574
814,"2024-03-23 17:55:23",2841409,118454
36674,"2024-03-17 20:00:10",2934054,96911
34827,"2024-03-29 15:37:03",3054605,156360
1364,"2024-03-28 20:46:18",3125694,224597
34277,"2024-04-01 14:30:00",3218112,305221
36039,"2024-04-08 05:32:00",3312722,68349
1367,"2024-03-27 15:55:15",4345944,301490
1499,"2024-03-27 19:00:25",4830461,293837
36800,"2024-04-09 15:35:14",4944310,263596
36498,"2024-04-09 00:28:00",5074177,400029
1354,"2024-03-28 08:00:26",5123578,329262
1504,"2024-03-25 09:00:03",6526271,575037
36624,"2024-03-30 02:10:41",6990433,26420
1861,"2024-03-24 15:32:56",8195123,614567
1395,"2024-03-26 16:45:20",8677404,520219
1062,"2024-03-12 00:51:12",9449190,167826
36556,"2024-04-09 08:01:00",11122339,201202
1467,"2024-03-23 23:07:09",11362951,577262
807,"2024-04-01 18:37:01",11841894,590401
1161,"2024-03-02 10:51:36",12317955,209276
1498,"2024-03-20 15:23:15",12589290,595751
35886,"2024-03-16 17:30:06",14506389,178691
299,"2024-03-06 19:42:44",18798223,285759
1844,"2024-03-14 23:00:35",21428209,563929
1814,"2024-03-29 05:23:11",22809892,252719
35983,"2024-03-29 13:54:52",22963039,1456043
1040,"2024-02-27 09:40:02",25872919,280168
217,"2024-03-02 20:20:22",29703984,1036117
36295,"2024-04-06 10:00:01",32762581,1779740
319,"2024-02-27 14:18:47",37926324,213474
1742,"2024-03-26 08:00:36",41287961,1278860
36300,"2024-04-07 23:16:28",66710459,2798434
34484,"2024-04-02 07:13:43",45219,1554
104,"2024-04-02 15:18:00",83706,15486
36416,"2024-04-09 15:51:53",91864,3307
34117,"2024-04-04 17:35:52",136225,28413
1114,"2024-03-27 22:45:31",175085,3227
36423,"2024-04-14 01:24:05",186522,14392
36649,"2024-04-13 13:44:16",222013,20627
1665,"2024-04-01 18:15:02",458403,36982
34698,"2024-04-04 13:58:13",643730,44762
36464,"2024-03-18 14:32:51",784895,43752
36415,"2024-04-09 10:25:40",834478,35327
36316,"2024-04-14 12:09:56",845163,44337
811,"2024-03-28 17:44:38",850124,122683
106,"2024-04-01 14:00:13",926069,101446
886,"2024-03-23 19:37:20",1036520,57127
33881,"2024-04-03 16:00:30",1048377,148541
36485,"2024-04-06 12:06:00",1116432,54379
1359,"2024-03-31 12:30:16",1164206,105736
35878,"2024-04-11 11:00:40",1191871,47800
35794,"2024-04-14 13:17:15",1217742,123806
36888,"2024-04-09 20:35:00",1342887,83114
34430,"2024-04-01 16:34:52",1484744,87732
35779,"2024-04-14 12:53:46",1555249,79409
1578,"2024-03-28 14:13:35",1749171,None
34501,"2024-04-01 06:01:00",1759480,83873
1308,"2024-03-23 20:13:25",1791666,35103
556,"2024-03-16 18:26:36",1944883,46089
393,"2024-03-27 15:00:28",2016171,147252
36619,"2024-04-05 13:32:17",2016366,97586
35343,"2024-04-12 22:31:56",2046559,None
837,"2024-03-16 14:53:58",2259960,139604
36083,"2024-04-05 19:31:53",2300690,179156
769,"2024-03-21 20:02:54",2327794,60151
493,"2024-03-28 11:30:04",2342164,213245
36854,"2024-04-10 20:00:19",2594516,198712
35799,"2024-03-31 05:29:52",2633733,50250
36638,"2024-04-04 23:52:25",2744307,83366
35238,"2024-04-07 11:10:16",2745708,None
35925,"2024-04-09 16:19:09",3761164,282205
1881,"2024-03-21 14:51:03",3899879,265100
1820,"2024-03-25 12:00:04",3992779,228418
33730,"2024-03-08 06:00:57",4285134,40633
35856,"2024-04-08 01:13:35",4767829,368185
238,"2024-03-06 11:05:57",5081349,403809
36354,"2024-04-09 10:00:38",5204691,181425
781,"2024-03-22 09:01:03",5282112,148830
795,"2024-03-26 10:19:10",5600115,350278
1158,"2024-03-20 17:32:11",6363848,431891
1125,"2024-03-12 10:03:13",6497576,200793
35410,"2024-04-03 07:51:34",6716852,104686
33691,"2024-03-12 15:42:58",7016715,61987
35146,"2024-04-11 08:01:00",8519139,441040
35821,"2024-03-13 23:22:27",9538245,267475
36396,"2024-03-27 05:00:01",10052952,161360
36303,"2024-04-05 04:01:25",12377226,356075
33397,"2024-03-20 03:29:24",13016950,100319
1259,"2024-03-29 18:30:05",15741976,256574
424,"2024-03-23 08:37:19",17425636,646612
35458,"2024-03-20 22:23:22",21635782,365974
1312,"2024-02-26 02:41:18",28729111,326426
36540,"2024-03-27 23:45:02",43363408,None
36876,"2024-03-30 07:45:01",44073212,745858
35214,"2024-04-08 09:58:15",53780409,1169228
34236,"2024-04-04 14:24:49",47435,6011
35673,"2024-04-14 06:03:53",58271,5992
127,"2024-04-01 21:12:30",75292,4907
35493,"2024-04-13 10:03:37",108284,5417
34956,"2024-04-14 09:00:31",297528,37109
135,"2024-04-01 12:00:02",332133,18045
35535,"2024-03-18 19:08:13",364955,14403
131,"2024-04-01 11:30:06",375092,30193
34909,"2024-04-14 13:56:58",427843,29511
978,"2024-03-12 22:06:51",476657,4482
33104,"2024-04-03 06:00:14",522006,46225
1915,"2024-04-01 10:51:49",766327,68172
982,"2024-03-27 18:00:17",846249,37135
36319,"2024-04-14 18:03:06",885096,40422
1676,"2024-03-29 01:08:42",1264901,65351
939,"2024-03-25 09:48:29",1344797,40843
34822,"2024-03-15 14:31:54",1521730,77634
822,"2024-03-28 03:10:22",1622458,132229
36629,"2024-04-08 14:00:03",1629798,130440
36617,"2024-03-21 16:03:17",2035803,108975
1198,"2024-03-28 10:36:11",2177163,164148
36310,"2024-04-09 19:30:12",2485624,58339
35936,"2024-04-10 13:58:38",2513282,227357
36544,"2024-03-30 17:58:18",2558925,118219
34068,"2024-03-30 15:00:28",2585110,262338
549,"2024-03-07 12:00:40",2636390,203074
35165,"2024-04-12 12:00:44",2912222,215847
36825,"2024-04-02 10:00:24",3015272,110512
368,"2024-04-01 11:30:00",3122589,252907
33646,"2024-03-11 14:00:04",3146254,170106
36689,"2024-03-30 04:27:31",3280547,47395
35828,"2024-03-27 05:27:53",3664106,106712
34425,"2024-03-29 02:04:00",3819178,238685
34734,"2024-03-31 10:34:50",4196625,98398
1416,"2024-03-26 12:09:57",4661200,461866
35888,"2024-04-08 19:13:45",4876657,102687
850,"2024-03-18 14:08:02",4954670,201639
797,"2024-03-27 09:39:28",4991403,159405
36435,"2024-04-07 04:01:00",5200180,113853
965,"2024-03-17 14:08:11",5336688,215162
35814,"2024-04-08 12:07:22",5375320,159293
930,"2024-03-20 11:00:19",5751362,231347
1274,"2024-03-28 20:00:21",7485576,323353
35934,"2024-04-04 19:00:20",9682444,489094
1235,"2024-03-24 08:00:57",11593599,477377
1346,"2024-03-25 12:00:47",12241490,731080
36890,"2024-04-08 14:00:02",12840491,719422
727,"2024-03-18 10:00:25",12997169,656760
1121,"2024-03-28 09:22:31",14002690,757887
35717,"2024-04-08 18:50:53",26512111,543560
1216,"2024-03-04 15:45:18",27872096,1423635
35265,"2024-04-06 10:00:10",45663017,1879682
1139,"2024-03-07 08:14:53",47848705,550450
34881,"2024-04-15 15:05:20",23954,2228
889,"2024-04-01 10:47:00",78729,1307
1226,"2024-04-01 11:01:24",193679,15940
36492,"2024-04-12 22:32:29",221907,30688
809,"2024-03-29 13:52:00",326692,11597
117,"2024-04-02 10:00:13",340911,34048
34234,"2024-03-13 10:00:26",402128,20291
36853,"2024-04-14 19:06:12",445727,62852
971,"2024-03-23 12:00:05",629467,None
36654,"2024-04-09 11:15:21",673108,84819
33652,"2024-04-02 14:22:58",840733,45157
35903,"2024-04-12 13:46:12",856543,61746
36444,"2024-03-24 11:18:57",858740,47551
858,"2024-03-06 10:55:10",956487,48221
35416,"2024-03-27 12:13:42",1065042,39103
34783,"2024-04-02 13:02:34",1460354,91123
977,"2024-03-27 20:04:14",1639647,13181
36524,"2024-04-12 20:00:09",1675357,91188
1838,"2024-03-29 09:45:04",1703687,221545
35461,"2024-04-10 08:12:36",1747443,118080
36805,"2024-04-09 16:38:00",2005515,188467
34934,"2024-04-11 08:30:03",2362095,143803
902,"2024-03-24 11:22:36",2396932,131735
1452,"2024-03-29 19:00:37",2495277,135078
35228,"2024-04-09 17:57:49",2667640,33321
35770,"2024-04-10 16:03:07",2741755,127124
35933,"2024-04-09 12:30:01",2824064,224088
35304,"2024-04-04 20:31:02",2903023,204438
1827,"2024-03-30 10:00:31",2940808,188313
35965,"2024-04-08 19:39:44",2962430,169772
36714,"2024-04-11 23:02:22",2994242,251860
35774,"2024-04-11 20:00:09",3027907,158216
33281,"2024-04-02 12:00:34",3094999,278927
36567,"2024-04-04 12:00:38",3118481,101205
36353,"2024-04-04 06:36:12",3240749,113282
